NAME,GLON,GLAT,RA,DEC,DETFLUX,DETFLUX_ERR,APERFLUX,APERFLUX_ERR,PSFFLUX,PSFFLUX_ERR,GAUFLUX,GAUFLUX_ERR,GAU_SEMI1,GAU_SEMI1_ERR,GAU_SEMI2,GAU_SEMI2_ERR,GAU_THETA,GAU_THETA_ERR,GAU_FWHM_EFF,P,P_ERR,ANGLE_P,ANGLE_P_ERR,APER_P,APER_P_ERR,APER_ANGLE_P,APER_ANGLE_P_ERR,P_UPPER_LIMIT,APER_P_UPPER_LIMIT,EXTENDED,EXT_VAL,ERCSC,PCCS,HIGHEST_RELIABILITY_CAT
PCCS2 030 G009.35-19.61,9.354999542236328,-19.605003356933594,291.21501321277066,-29.23144408184702,13348.887,89.07421,13511.927,346.21518,13612.673,179.75375,13743.261,24.880415,37.3746,0.1581,28.6494,0.1212,150.8,0.8,33.012,651.74445,53.704823,31.03322,1.8347563,516.47675,172.26118,30.139324,6.3292823,0.0,0.0,0,3,PLCKERC030 G009.31-19.57,PCCS1 030 G009.35-19.60,95
PCCS2 044 G009.36-19.61,9.355999946594238,-19.605003356933594,291.2153969787139,-29.2305631849987,11642.824,151.4721,12074.011,521.51544,12239.504,293.2427,11795.166,37.382446,27.2062,0.2379,27.123,0.2372,126.8,1.2,27.1646,540.0823,92.5139,24.40105,4.778465,541.048,139.97096,25.791224,7.0016785,0.0,0.0,0,3,PLCKERC044 G009.33-19.59,PCCS1 044 G009.35-19.61,95
PCCS2 070 G009.35-19.60,9.352999687194824,-19.60199737548828,291.21102620894686,-29.232136806323073,10845.592,105.6376,10101.97,223.02661,9826.562,550.71405,9810.689,36.233646,14.471,0.1795,11.6182,0.1441,150.6,2.7,13.0446,595.4915,90.55967,30.917505,3.5670128,210.72289,555.8354,62.22688,44.42056,0.0,0.0,0,3,PLCKERC070 G009.35-19.61,PCCS1 070 G009.35-19.59,95
PCCS2 030 G015.06-00.70,15.062999725341797,-0.7009963989257812,275.1392724562526,-16.179203569437043,474743.25,4135.625,528082.44,35615.5,542518.0,16111.8125,550592.5,2871.312,38.5576,0.0042,30.0635,0.0033,152.1,0.0,34.3105,4333.4814,580.5224,53.709236,4.0553284,13680.46,377.04596,-66.10535,0.66522026,0.0,0.0,0,3,PLCKERC030 G015.05-00.70,PCCS1 030 G015.06-00.70,95
PCCS2 044 G015.07-00.69,15.065999984741211,-0.694000244140625,275.13431976885545,-16.173260414376223,397792.28,2265.7522,504698.8,22305.467,488410.62,10791.312,500475.97,2469.7874,30.0319,0.0067,28.9041,0.0065,67.6,NaN,29.468,2174.7732,157.3333,-38.025444,2.1416748,380.58694,159.76859,-35.55234,10.4271965,0.0,0.0,0,3,PLCKERC044 G015.05-00.70,PCCS1 044 G015.07-00.69,95
PCCS2 070 G015.07-00.69,15.067000389099121,-0.69000244140625,275.13113943370996,-16.17049397714883,299391.47,1075.4568,437022.8,6324.654,396289.75,14097.696,457996.25,1978.8291,17.2244,0.0054,13.8025,0.0044,140.4,0.1,15.5134,2792.7515,306.7012,74.006645,3.074524,4431.0845,201.73334,51.873936,0.9081606,0.0,0.0,0,3,PLCKERC070 G015.05-00.70, ,95
PCCS2 030 G043.18-00.03,43.17599868774414,-0.0260009765625,287.5937439324504,9.094900441590239,60023.742,1109.3108,87297.71,9252.718,88892.45,5779.294,189844.25,2019.0758,88.015,0.0489,40.0734,0.0223,169.5,0.2,64.0442,124.43621,118.03286,79.34823,17.375608,1076.7312,584.12305,-59.46712,12.697046,0.0,0.0,1,3,PLCKERC030 G043.19-00.01,PCCS1 030 G043.18-00.03,95
PCCS2 044 G043.17-00.02,43.16899871826172,-0.02100372314453125,287.58598107736435,9.09099976701042,58461.15,766.5059,72387.4,5460.251,70786.52,3478.2651,81965.016,1170.7229,34.7749,0.0518,29.7534,0.0443,170.2,0.4,32.2642,551.86035,87.02276,-26.477083,4.5795236,317.81497,141.26234,-9.617363,10.035346,0.0,0.0,0,3,PLCKERC044 G043.16-00.03,PCCS1 044 G043.17-00.02,95
PCCS2 070 G043.17-00.01,43.16999816894531,-0.01399993896484375,287.58015735885596,9.095120844657693,48027.22,361.94775,59065.83,1890.5532,56617.406,3095.9146,58376.836,848.0113,15.0327,0.0342,13.2992,0.0302,146.6,0.4,14.166,352.438,81.10162,60.54065,5.5960426,311.95068,128.52051,40.79673,8.7906475,0.0,0.0,0,3,PLCKERC070 G043.18-00.01,PCCS1 070 G043.17-00.01,95
PCCS2 030 G076.18+05.75,76.18499755859375,5.752998352050781,299.8675322462333,40.7285273877392,45332.438,920.84814,43967.906,2198.6824,43582.633,1212.1803,42970.734,147.16856,35.9633,0.0468,27.5796,0.0359,129.5,0.6,31.7714,156.47755,110.59905,-12.867558,10.379733,1215.1763,2529.8555,0.35149193,4.5135994,0.0,0.0,0,3,PLCKERC030 G076.15+05.79,PCCS1 030 G076.19+05.75,95
PCCS2 044 G076.19+05.76,76.19100189208984,5.758003234863281,299.8659664744309,40.73623002044675,26742.352,504.42737,26886.322,1383.0062,26483.95,813.95123,24961.074,127.11794,26.6696,0.1076,26.3893,0.1065,171.0,0.7,26.5294,396.43698,56.78165,-25.982239,4.1801925,539.1429,339.1847,-37.036636,10.249073,0.0,0.0,0,3,PLCKERC044 G076.17+05.77,PCCS1 044 G076.19+05.76,95
PCCS2 070 G076.19+05.75,76.18800354003906,5.7519989013671875,299.8707049060432,40.73056790281264,16147.467,131.40622,16353.174,381.86273,15910.829,406.35706,15505.019,88.0402,14.7322,0.1185,11.9855,0.0964,129.4,0.5,13.3589,534.9509,65.10975,-7.996319,2.7394311,1742.0737,1836.0712,67.60176,18.76194,0.0,0.0,0,3,PLCKERC070 G076.20+05.74,PCCS1 070 G076.17+05.77,95
PCCS2 030 G092.60-10.43,92.60299682617188,-10.432998657226562,330.68784843485344,42.292272743547045,6074.4834,103.89391,6352.685,350.56308,6196.6733,155.69936,6347.1343,30.15377,36.4423,0.3324,29.1559,0.266,94.8,2.7,32.7991,524.7077,62.65971,52.745205,2.0891387,1189.9612,1468.1226,-29.194588,18.497293,0.0,0.0,0,3,PLCKERC030 G092.62-10.44,PCCS1 030 G092.60-10.45,95
PCCS2 044 G092.59-10.44,92.59100341796875,-10.438003540039062,330.67929569046174,42.28113102065003,5969.814,139.12915,6763.935,641.15326,6393.972,273.31943,6497.8994,33.085922,28.1279,0.4589,27.7188,0.4523,13.2,6.6,27.9233,390.6275,65.814186,56.227097,3.7856195,735.6037,249.3565,64.56308,8.218616,0.0,0.0,0,3,PLCKERC044 G092.60-10.41,PCCS1 044 G092.61-10.42,95
PCCS2 070 G092.59-10.43,92.59100341796875,-10.431999206542969,330.6743638773678,42.28589958185154,5733.8223,100.08145,6121.203,365.21832,6452.0146,476.92267,6123.975,25.444305,14.5396,0.2967,12.1942,0.2488,93.2,3.4,13.3669,579.1798,68.902115,50.879074,2.8247886,3931.2473,3577.8442,38.172966,7.128498,0.0,0.0,0,3,PLCKERC070 G092.58-10.43,PCCS1 070 G092.58-10.43,95
PCCS2 030 G111.74-02.13,111.73899841308594,-2.134002685546875,350.86059484355854,58.81223941062946,182167.97,544.4278,189458.03,2140.5894,188620.27,2349.4802,189520.69,381.02597,37.4626,0.0115,28.4861,0.0087,63.2,0.1,32.9744,573.4566,288.86276,-27.267797,11.529764,2577.302,2347.7861,32.316902,14.507651,0.0,0.0,0,3,PLCKERC030 G111.79-02.08,PCCS1 030 G111.74-02.13,95
PCCS2 044 G111.74-02.13,111.73799896240234,-2.128997802734375,350.8555517148749,58.816624272417194,135183.28,425.98596,141470.33,1911.0033,138282.61,1925.4502,133573.69,299.65393,27.4073,0.0211,26.6977,0.0205,84.8,0.2,27.0525,985.34265,72.61844,53.986332,2.286362,1326.7349,1179.3579,41.889732,3.509489,0.0,0.0,0,3,PLCKERC044 G111.77-02.10,PCCS1 044 G111.74-02.13,95
PCCS2 070 G111.74-02.13,111.73999786376953,-2.1279983520507812,350.8585445166161,58.81823294237951,99954.766,170.00987,104956.24,572.1428,100634.914,1063.3228,97888.61,327.10736,14.6107,0.0187,12.2222,0.0157,63.4,0.2,13.4165,256.4182,90.125595,-14.016874,8.976793,2195.6301,2701.9956,16.379442,20.316387,0.0,0.0,0,3,PLCKERC070 G111.74-02.13,PCCS1 070 G111.75-02.13,95
PCCS2 030 G130.72+03.08,130.72000122070312,3.0810012817382812,31.407336427131682,64.82495245278474,18865.666,279.38986,19401.125,399.44385,19022.295,222.1257,19581.371,50.666744,36.921,0.1101,29.2657,0.0873,44.5,0.8,33.0934,1170.6868,138.5923,-9.715816,1.6140889,1569.7194,2284.0518,-71.03456,23.098837,0.0,0.0,0,3,PLCKERC030 G130.73+03.08,PCCS1 030 G130.72+03.08,95
PCCS2 044 G130.72+03.08,130.71800231933594,3.0790023803710938,31.401504761525473,64.8236013509773,16266.588,218.32317,17206.41,589.24756,16929.385,313.46634,16810.754,54.22481,27.9805,0.1744,27.2115,0.1696,56.8,0.9,27.596,873.0527,114.31932,-7.051383,2.2728498,1297.2646,270.8854,3.3132505,8.5065,0.0,0.0,0,3,PLCKERC044 G130.73+03.08,PCCS1 044 G130.72+03.08,95
PCCS2 070 G130.72+03.08,130.71600341796875,3.0839996337890625,31.40033433221197,64.82895940461151,12304.464,124.17487,13661.804,324.73584,13173.791,509.78607,13387.899,80.17068,14.8613,0.144,12.8641,0.1247,34.5,1.1,13.8627,914.11804,91.15365,-10.314406,2.2528102,1272.8497,219.71228,-10.214812,3.04671,0.0,0.0,0,3,PLCKERC070 G130.71+03.07,PCCS1 070 G130.72+03.08,95
PCCS2 030 G184.54-05.78,184.54299926757812,-5.7819976806640625,83.62693166755786,22.027909324134022,344233.0,275.76288,347550.75,1048.399,347129.28,437.2062,347827.78,203.2726,37.4178,0.0062,28.1134,0.0047,30.0,0.0,32.7656,24438.123,1048.9001,-84.54329,0.5347372,19611.824,4318.6855,-83.71741,1.3987114,0.0,0.0,0,3,PLCKERC030 G184.55-05.79,PCCS1 030 G184.54-05.78,95
PCCS2 044 G184.54-05.78,184.5449981689453,-5.777000427246094,83.63263340003871,22.028904902765635,292680.12,230.48805,307738.66,1637.1633,300209.03,2103.8586,289304.9,357.85306,27.1427,0.0096,26.99,0.0096,150.8,0.1,27.0663,19072.428,1108.2966,-88.34885,0.32338357,20613.707,553.8289,-86.933784,0.46688554,0.0,0.0,0,3,PLCKERC044 G184.55-05.79,PCCS1 044 G184.55-05.78,95
PCCS2 070 G184.54-05.78,184.54400634765625,-5.7779998779296875,83.63115287324486,22.02920332111111,259991.83,108.55195,269567.66,842.77905,257027.03,1190.9457,254551.77,227.67307,14.7911,0.0073,12.03,0.0059,27.7,0.1,13.4106,20548.342,606.6858,-84.24669,0.23208012,23516.625,519.021,-85.03754,1.3201638,0.0,0.0,0,3,PLCKERC070 G184.55-05.79,PCCS1 070 G184.56-05.77,95
PCCS2 030 G251.59-34.64,251.5850067138672,-34.64399719238281,79.9421146463296,-45.770052401937946,6249.148,123.36016,6492.885,517.51166,6389.9136,161.33553,6455.0996,77.42183,35.4721,0.3181,29.9414,0.2685,167.7,5.2,32.7067,287.16992,28.851933,21.071129,2.7476695,7004.4517,7131.199,43.2264,1.3853289,0.0,0.0,0,3,PLCKERC030 G251.59-34.62,PCCS1 030 G251.58-34.64,95
PCCS2 044 G251.59-34.63,251.5919952392578,-34.63200378417969,79.95994664514336,-45.77476398540109,4237.5605,128.39865,5033.7427,691.93665,4896.122,294.64432,4964.35,82.91054,29.8061,0.6481,27.1159,0.5896,107.4,4.2,28.461,216.06473,44.565834,22.963243,5.6400104,236.79884,78.168625,14.752201,7.6933966,0.0,0.0,0,3,PLCKERC044 G251.59-34.62,PCCS1 044 G251.59-34.63,95
PCCS2 070 G251.59-34.65,251.593994140625,-34.64900207519531,79.93586255334954,-45.7778434068703,3458.1433,101.46615,3970.333,244.52493,3837.66,407.0627,3813.7764,71.95135,14.8502,0.498,12.5066,0.4194,156.9,5.6,13.6784,185.8255,49.894634,26.2414,6.5112,4334.5493,4430.1147,-56.100624,10.735086,0.0,0.0,0,3,PLCKERC070 G251.61-34.64,PCCS1 070 G251.60-34.64,95
PCCS2 030 G267.94-01.05,267.9410095214844,-1.052001953125,134.7796190809863,-47.50747233051603,179073.28,759.0761,230982.56,8254.472,221816.11,3631.9114,247263.62,1092.4592,40.7062,0.0107,33.1016,0.0087,70.1,0.1,36.9039,926.77,217.78789,-25.0791,5.9128833,507.91068,5479.3525,-43.81372,54.020752,0.0,0.0,0,3,PLCKERC030 G267.93-01.02,PCCS1 030 G267.94-01.05,95
PCCS2 044 G267.95-01.05,267.9460144042969,-1.0510025024414062,134.78559032191777,-47.51059816808678,162617.3,458.89435,212990.92,7019.5635,200467.38,3406.0808,220596.19,873.63617,30.6011,0.016,30.3033,0.0159,166.7,0.2,30.4522,662.39954,98.76108,53.965435,3.5546355,902.24567,576.7302,46.027798,7.0178266,0.0,0.0,0,3,PLCKERC044 G267.95-01.04,PCCS1 044 G267.94-01.05,95
PCCS2 070 G267.95-01.06,267.9549865722656,-1.0609970092773438,134.7831120884331,-47.523923380472446,135277.39,394.2965,162280.72,5361.8467,155180.61,6082.049,169130.44,1120.0813,16.387,0.0135,13.4078,0.011,67.0,0.2,14.8974,1179.3088,66.84601,-1.742544,1.9433049,3028.8804,2788.7705,16.160707,18.19537,0.0,0.0,0,3,PLCKERC070 G267.93-01.06,PCCS1 070 G267.94-01.06,95
PCCS2 030 G283.77+74.49,283.7650146484375,74.49400329589844,187.70347868883627,12.394857548578775,17585.0,94.52561,18065.553,364.80954,17928.775,144.52765,18219.053,69.19589,37.8064,0.1207,28.3693,0.0906,98.4,1.4,33.0878,846.66675,102.478325,32.76672,1.9718969,6974.019,6131.216,-26.825218,15.136784,0.0,0.0,0,3,PLCKERC030 G283.75+74.54,PCCS1 030 G283.76+74.50,95
PCCS2 044 G283.75+74.50,283.7510070800781,74.5009994506836,187.7019648855201,12.402653533335489,12661.776,155.63113,13596.189,549.0336,13438.005,250.09227,13071.311,50.7521,28.232,0.2256,26.7968,0.2141,123.3,2.0,27.5144,437.81955,71.106384,23.0826,4.466494,513.10706,261.11475,54.792416,24.183609,0.0,0.0,0,3,PLCKERC044 G283.70+74.49,PCCS1 044 G283.79+74.50,95
PCCS2 070 G283.77+74.51,283.7749938964844,74.50800323486328,187.71037158775056,12.407418941738939,9195.986,113.15435,9410.095,272.06665,9401.3545,568.85956,9149.435,24.874456,14.6737,0.198,11.7977,0.1592,96.9,2.6,13.2357,639.4463,80.71324,18.0457,3.1602736,1723.9069,1128.2096,29.893791,7.9258704,0.0,0.0,0,3,PLCKERC070 G283.70+74.49,PCCS1 070 G283.67+74.50,95
PCCS2 030 G289.94+64.37,289.9389953613281,64.36599731445312,187.27407822807783,2.059316446576363,19862.895,103.99803,20001.68,312.29343,20083.002,136.97919,20073.715,78.29906,36.9644,0.1055,28.1205,0.0802,100.6,0.7,32.5425,964.3315,71.491936,-53.77248,2.0125809,6807.622,4966.9683,-28.309967,13.646206,0.0,0.0,0,3,PLCKERC030 G290.02+64.36,PCCS1 030 G289.94+64.37,95
PCCS2 044 G289.94+64.36,289.9419860839844,64.35900115966797,187.2739453077796,2.0522028674459873,17340.504,165.69238,17335.16,542.433,17048.223,312.36505,16454.945,74.53685,26.722,0.164,26.4612,0.1624,83.4,0.9,26.5916,480.75394,85.39133,-52.065594,4.1197395,834.9873,562.5171,-74.72677,9.146076,0.0,0.0,0,3,PLCKERC044 G289.93+64.36,PCCS1 044 G289.93+64.35,95
PCCS2 070 G289.95+64.37,289.9530029296875,64.36900329589844,187.28062107147713,2.061048966889821,14371.702,110.95676,14760.912,330.23996,14401.632,387.50598,13825.981,74.63168,14.5501,0.1288,11.6892,0.1035,104.2,0.9,13.1197,368.1557,85.236664,-44.767204,5.7462883,474.81467,875.59033,25.86501,26.117222,0.0,0.0,0,3,PLCKERC070 G289.93+64.36,PCCS1 070 G289.90+64.36,95
PCCS2 030 G309.54+19.44,309.5379943847656,19.438003540039062,201.38931967287226,-42.995672996361684,43894.727,144.8318,51509.41,1297.6288,50705.05,933.7935,53826.67,99.04669,42.7223,0.0491,28.4392,0.0327,125.1,0.3,35.5807,3353.2026,226.64465,-15.70177,1.7546715,8340.667,8771.481,-3.9057007,3.0469396,0.0,0.0,0,3,PLCKERC030 G309.50+19.44,PCCS1 030 G309.54+19.44,95
PCCS2 044 G309.53+19.43,309.5260009765625,19.43000030517578,201.37553760806773,-43.005179502655295,31643.414,188.61624,37632.883,1082.2047,36133.53,605.1071,36958.63,77.15853,30.4219,0.0903,27.4211,0.0814,132.1,0.7,28.9215,1765.6028,176.59215,-20.440784,2.6565,2354.299,787.25555,-29.972183,6.8127565,0.0,0.0,0,3,PLCKERC044 G309.52+19.42,PCCS1 044 G309.54+19.44,95
PCCS2 070 G309.54+19.44,309.53900146484375,19.44300079345703,201.38964881099673,-42.990592007659735,25617.344,134.44487,27404.05,445.60364,26177.72,1066.2462,27302.662,54.672413,16.5018,0.079,11.7628,0.0563,132.5,0.3,14.1323,1868.0104,132.7782,-15.286225,1.6617427,2296.8445,166.86285,-16.906725,1.7038525,0.0,0.0,0,3,PLCKERC070 G309.52+19.42,PCCS1 070 G309.51+19.43,95
PCCS2 030 G006.03-01.25,6.03000020980835,-1.253997802734375,271.02674955711615,-24.36642445016374,87009.805,2703.579,147313.52,16986.428,128756.02,14337.727,333786.12,4978.529,98.3286,0.0356,46.9459,0.017,124.4,0.0,72.6372,721.8625,219.13727,75.80994,7.8028984,2939.7449,312.30447,-64.37063,2.9148927,0.0,0.0,1,3,PLCKERC030 G006.01-01.23,PCCS1 030 G006.03-01.25,95
PCCS2 044 G006.02-01.23,6.017000198364258,-1.227996826171875,270.99487807444086,-24.364984549614572,69737.1,1447.3855,130294.266,13227.859,111756.51,10241.568,195481.34,2907.4854,60.092,0.0512,31.9802,0.0272,84.9,NaN,46.0361,755.9878,126.21681,-39.111633,4.620854,704.47705,546.3791,-48.50339,11.741807,0.0,0.0,1,3,PLCKERC044 G006.01-01.23,PCCS1 044 G006.02-01.23,95
PCCS2 070 G005.98-01.20,5.980999946594238,-1.197998046875,270.9467835600725,-24.381604134717,34785.57,1092.9938,74514.76,6127.9067,67868.586,9810.231,118105.33,1771.3262,22.2972,0.0369,19.4071,0.0321,73.3,0.4,20.8522,692.31085,111.02926,62.344105,3.8809187,838.6157,160.30643,51.361004,5.699704,0.0,0.0,1,3,PLCKERC070 G005.97-01.19,PCCS1 070 G005.98-01.20,95
PCCS2 030 G305.30+00.13,305.3009948730469,0.128997802734375,198.02119429925833,-62.64774085849985,111088.68,1510.818,222152.89,11610.925,205541.66,7308.2075,303829.22,2095.823,49.0619,0.013,41.9695,0.0111,167.0,0.1,45.5157,424.09393,210.9429,9.519966,7.2631683,1404.7712,7401.2456,-0.52113914,17.0197,0.0,0.0,0,3,PLCKERC030 G305.26+00.14,PCCS1 030 G305.30+00.13,95
PCCS2 044 G305.29+00.14,305.2850036621094,0.14299774169921875,197.98407789770613,-62.63506136643048,91711.266,932.29254,190145.22,11833.43,165618.45,6679.406,261430.86,1841.9257,43.0597,0.0245,35.6069,0.0202,15.9,0.1,39.3333,731.03894,74.68756,-53.58058,3.2596278,2393.0278,1863.4619,-58.03837,11.767004,0.0,0.0,0,3,PLCKERC044 G305.26+00.14,PCCS1 044 G305.29+00.13,95
PCCS2 070 G305.28+00.18,305.281005859375,0.180999755859375,197.96885508334552,-62.59749660025728,40684.133,726.17993,91758.266,10420.927,86954.36,10796.033,166216.42,2730.5088,24.8006,0.0318,20.8555,0.0268,166.1,0.2,22.828,420.63187,87.178535,28.43212,5.4723654,2363.4011,1897.8577,64.13048,15.2773905,0.0,0.0,1,3,PLCKERC070 G305.27+00.18,PCCS1 070 G305.29+00.18,95
